output_flant5_q0_p1.txt	0.0711	0.8450	0.0605	0.8311	0.1006	0.8620	0.0293	0.8391
output_flant5_q0_p2.txt	0.1530	0.8553	0.2917	0.8762	0.0599	0.8422	0.0378	0.8360
output_flant5_q1_p1.txt	0.1121	0.8525	0.1630	0.8513	0.0916	0.8584	0.0392	0.8422
output_flant5_q1_p2.txt	0.2032	0.8659	0.3806	0.8953	0.0817	0.8461	0.0614	0.8416
output_flant5_q2_p1.txt	0.0691	0.8449	0.0657	0.8324	0.0915	0.8607	0.0267	0.8385
output_flant5_q2_p2.txt	0.1717	0.8596	0.3293	0.8834	0.0625	0.8444	0.0484	0.8383
output_unifiedqa_q0_p1.txt	0.1105	0.8619	0.1982	0.8635	0.0552	0.8694	0.0294	0.8411
output_unifiedqa_q0_p2.txt	0.0570	0.8479	0.1040	0.8502	0.0297	0.8526	0.0085	0.8318
output_unifiedqa_q1_p1.txt	0.1618	0.8708	0.3159	0.8843	0.0547	0.8673	0.0419	0.8473
output_unifiedqa_q1_p2.txt	0.1344	0.8629	0.2665	0.8784	0.0491	0.8581	0.0170	0.8372
output_unifiedqa_q2_p1.txt	0.1144	0.8634	0.2121	0.8671	0.0526	0.8693	0.0247	0.8415
output_unifiedqa_q2_p2.txt	0.0742	0.8514	0.1391	0.8567	0.0335	0.8537	0.0140	0.8340
