baseline_flant5_q0_p1.txt	0.0672	0.8437	0.0641	0.8314	0.0855	0.8599	0.0331	0.8361
baseline_flant5_q0_p2.txt	0.1691	0.8579	0.2954	0.8764	0.0926	0.8480	0.0458	0.8369
baseline_flant5_q1_p1.txt	0.1095	0.8510	0.1538	0.8485	0.0925	0.8592	0.0440	0.8382
baseline_flant5_q1_p2.txt	0.2115	0.8687	0.3701	0.8938	0.1090	0.8530	0.0708	0.8450
baseline_flant5_q2_p1.txt	0.0681	0.8430	0.0646	0.8309	0.0897	0.8594	0.0277	0.8345
baseline_flant5_q2_p2.txt	0.1882	0.8617	0.3281	0.8836	0.1024	0.8491	0.0538	0.8384
baseline_unifiedqa_q0_p1.txt	0.1097	0.8624	0.2009	0.8638	0.0508	0.8690	0.0290	0.8442
baseline_unifiedqa_q0_p2.txt	0.0597	0.8460	0.1057	0.8497	0.0326	0.8498	0.0130	0.8287
baseline_unifiedqa_q1_p1.txt	0.1562	0.8703	0.3010	0.8819	0.0614	0.8685	0.0308	0.8469
baseline_unifiedqa_q1_p2.txt	0.1438	0.8637	0.2784	0.8808	0.0577	0.8571	0.0223	0.8385
baseline_unifiedqa_q2_p1.txt	0.1131	0.8637	0.2069	0.8664	0.0538	0.8698	0.0272	0.8435
baseline_unifiedqa_q2_p2.txt	0.0782	0.8505	0.1423	0.8573	0.0387	0.8519	0.0174	0.8313
